And this?	و هذه؟
One of the locals grabbed a main bus. Both hands.	أحد الأفراد أمسك بموصل الكهرباء الرئيسي بيديه
The financial statements for the Convention trust funds for the biennium 2008-2009 are contained in documents ICCD/COP(9)/6/Add.3 and Add.7 .	50- ترد في الوثيقتين ICC0D/COP(9)/6/Add.3 وAdd.7 البيانات المالية للصناديق الاستئمانية للاتفاقية لفترة السنتين 2008-2009.
Sorry?	أستميحك عذراً؟
Who's that?	من هذه؟
I need you to run this for industrial pollutants and chemicals, okay?	أريد أن تجري إختبارًا على ذلك للملوثات الصناعية والمواد الكيميائية، حسنا؟
The EU must freeze these individuals’ assets and impose anEU-wide travel ban on them.	ويتعين على الاتحاد الأوروبي أن يجمد أصول هؤلاء الأفراد وأنيفرض حظراً شاملاً على سفرهم إلى بلدان الاتحاد الأوروبي.
Dr. Grey, I have those labs...	الطبيبة( جراي), لديهذهالنتائجالمخبرية... .
I'll do both.	أعرف سأفعل الاثنان معاً
E/CN.4/2005/88/Add.3,paras 90-91, 93	49 E/CN.4/2005/88/Add.3,paras 90-91, 93
- Bevin! - Hi!	(بيفين) - مرحباً -
Well, not so much break up as...	ليس أنفصالاً كما ..
Stop.	هذا يكفي لليوم
We really appreciate your time.	إسمع، شكرًا جزيلاً نحن نُقدّر وقتك حقّاً
Under article 78 of the Prisons Act, the Department of Public Prosecutions must be immediately notified by the prison warden or chief prison officer of any case where a prisoner or detainee dies suddenly or as a result of an accident, injury or escape.	135- فقد نصت المادة 78 من قانون السجون على وجوب الإخطار الفوري للنيابة العامة بمعرفة مدير السجن أو مأموره بوفاة أي مسجون أو محتجز يتوفى فجأة أو نتيجة حادث أو إصابته أو فراره.
Exactly!	-لكني الديناصور
We'll have to give it to the Smithsonian when we've done the operation.	يجب ان اعطها للسيدة داوني التي اجرت العمليه سلفاً
Why would you think that?	لماذا تظنينَ ذلك؟
Committed!	الملتزم ، اتعلمون مَنْ الملتزمين؟
They paid cash. There are no security cameras on the premises...	لقد دفعوا أجرة الغرفة نقداً وليسهناككاميراتمراقبة...
When do we start?	متى نبدأ
[ Gasps ]	يا عزيزي "بينى" أستعدى لكى تشهدى على اللحظة التاريخية
If higher education is to respond to the needs of students in different social and cultural settings, it must have flexible curricula and varied delivery systems, such as distance learning; in practice, therefore, both secondary and higher education have to be available “in different forms”.	وإذا ما أريد للتعليم العالي أن يستجيب لاحتياجات الطلاب في مختلف الأوساط الاجتماعية والثقافية، لا بد أن تكون لديه مناهج دراسية مرنة ونظم مختلفة لتوفير التعليم، مثل التعليم عن بعد؛ غير أنه في الممارسة العملية يجب أن يتوافـر كل مـن التعليـم الثانوي والتعليم العالي "بأنواع مختلفة".
And frankly, I didn't become a cop to get in touch with my feelings.	وبصراحة، لم أكن وأبوس]؛ ر تصبح شرطي للحصول على اتصال مع مشاعري.
And when can you hear an echo?	وأين يمكنك أن تسمع الصدى؟
Come.	تعالي.
No, of course not.	لا ، بالطبع لا
I can't help it, okay?	لا استطيع السيطرة عليها ، واضح ؟
All right.	دورة.
-Please, it's, it's...	---أرجوك، هذا
They come... they come in a little plastic egg kind of panty hose!	إنها تأتي ... تأتي في أكياس بيضوية بلاستيكية!
Saying that she eats all night Big Macs.	قائلا ان يأكل كل ليلة أجهزة ماكينتوش الكبير.
Then bring me a barrel I can roll home and drink all night.	إذن أحضري لي برميلاً سأدحرجه إلى البيت وأشرب طوال الليل
- Don't be nervous, it's nothing.	-لا تكون عصبية،لا شيء .
Oh!	اوه
No.	!
Susanna, calm down.	-سوزان)، اهدئي واجلسي) .
He has such a small face. He's totally my type!	لديه وجه صغير , انه تماماً نوعي المفضل
- Al.	-ال) )
Know why we're worthless in Europe?	تعرف لماذا نحن عديمة الفائدة في أوروبا؟
(Signed) Vladislav Jovanović Chargé d'affaires a.i.	(توقيع) فلاديسلاف يوفانوفيتش القائم بالأعمال المؤقت
Draft summary	مشروع موجز
And if there is any way... that we can forget what's happened and find our way back to the joy that we knew...	و لو كانت هناك أي طريقة ... أن نستطيع نسيان ما حدث و نجد طريقنا مرة أخرى إلى السعادة التي عرفناها معاً ...
Small version.	نسخة مُصغرة
I still think he feels isolated.	انا مازلت اعتقد انه يشعر بالعزله
Thank you for coming so quickly.	أشكركَ على القدوم بسرعة .
That's a first since high school.	هذه أول مرة منذ الثانوية
Take it easy.	إهدئ - !
See?	ترى؟
This takes you home to your mother and father, your sisters, daffodils in spring, frost on the grass in winter, hunting dogs at your feet.	هذا سيأخذك لمنزلك لوالدك وأمك وشقيقاتك، النرجس في الربيع والثلج على العشب في الشتاء ...
Tuesday, 4 December 2007	الثلاثاء، 4 كانون الأول/ديسمبر 2007
They hand out pink slips like they're hors d'oevres.	إنها تصدر أوراق الطرد وكأنها مقبلات طعام
It's Desmond Rhodes.	إنه ديزموند رودز
Mikey?	رحل
Remember ted with the hair?	-نعم أتذكرين (تيد) ذو الشعر؟
These people are ready for the jobs of tomorrow.	هؤلاء الأشخاص مستعدون من أجل أعمال الغد.
May I take it that the General Assembly decides to consider this item directly in plenary meeting?	هل لي أن أعتبر أن الجمعية العامة تقرر النظر في هذا البند مباشرة في جلسة عامة؟
Ugh! Oh, no!	أوه، كلاّ
Medical authorities state that, of the type of teenage girls applying at public health stations for aid, the percentage that is infected with venereal disease is always very high.	سلطات الدوله الطبيه تقول أن هذا النوع من الفتيات في سن المراهقه يجب وضعهن في مراكز الصحة العامة للحصول على المساعدات، النسبة المئوية التي يتم الإصابة بالأمراض التناسلية هي دائما عالية جدا
Thanks, Daisy. What're you doing?	شكراً يا (دايزي) ماذا تفعلين؟
Okay, so this is it.	حسنا ,اذا وهو كذلك.
You're gonna ask the guy whose job you stole how to do the job?	ستسأليـن الرجـل الذي سرقتِ عمله كيف تقوم بعملك ؟
But scientists require facts, not flights of fancy. True.	يحتاج العلماء لحقائق، وليس أفكاراً خيالية.
Hey! I told you. No, you didn't.	قلت لك- لا لم تقل-
You have the Pacific Tours seminar, so...	You have the Pacific Tours seminar, so...
Anyway... we must now decide which of these cars is the best.	علينا اختيار ماهي السيارة الافضل بالتحدي؟
Needle play.	اثار للعب بالأبرة
- Are you gonna squeal on me?	-هل ستشين بي ؟ -أشي؟ ...
That's... That's not mine.	-هذا ليس لي
- Yeah, when's lunch?	نعم متى الغداء؟
Tom, stay strong.	توم، يَبْقى قوياً.
Think of it as a follow-up.	إعتبره وكأنني أتبعك
If Qasim is not in Kabul to stand trial, then his sentence will be delivered upon my hostage.	أذا قاسم لم يكن في كابل لمحاكمته عقوبته سوف يتم تسليمها على رهينتي
He made it through the second test.	لقد مر بالاختبار الثاني
Very well, thank you.	جيد جداً، شكراً لك
- Okay, it's too bad.	- حسنا, يا للعار.
By having us kiss?	عن طريق تبادلنا قبلة؟
That's them.	أنها نفس السيارة
Anything you do not prikrivajva vee.	لا أسرار بعد الآن اتفقنا؟
He seems so sweet.	يبدو جميل
Yes?	موافقة ؟
What kills me is I thought that me and this little kid or Benji had a connection.	ما يزعجني هو أنني ظننتُ وجود صلةٍ بيني وبين الطفل أو (بينجي).
But why can't you pick up the pieces and try again?	لكن لماذا لاتستجمع قواك وتحاول ثانية؟
What's going on?	ماذا يجرى؟
Brother, I'm really sorry.	أخي, انا آسف
Look at Ben now. He's all grown up.	انظري الى بين الان انه عاقل
You didn't stick to our agreement	لم تلتزمي بالاتفاق
No, not the books.	-كلا, إلا كتبي.
He's got an announcement to make.	هو يُحْصَلُ على إعلانِ للجَعْل.
Mr. Gutiérrez García (Cuba) (spoke in Spanish): At the 2005 World Summit — which is also known as the United Nations reform summit, for having placed the issue of development outside the distorted focus on security and ambitious proposals for the Organization's reform — there was agreement on the need for a more effective Economic and Social Council as the principal organ in the coordination, political review and recommendation of issues associated with economic and social development.	السيد غوتيريز غارسيا (كوبا) (تكلم بالإسبانية): في مؤتمر القمة العالمي لعام 2005 - الذي يعرف أيضاً باسم مؤتمر قمة إصلاح الأمم المتحدة، لأنه وضع مسألة التنمية خارج التركيز المشوه على الأمن والاقتراحات الطموحة لإصلاح المنظمة - تم الاتفاق على الحاجة إلى مجلس اقتصادي واجتماعي أكثر فعالية، بوصفه الجهاز الرئيسي للتنسيق والاستعراض السياسي وتقديم التوصيات فيما يتعلق بالمسائل المرتبطة بالتنمية الاقتصادية والاجتماعية.
We're actually going through with that?	نحن سنفعل هذا حقاً
Hey, sleepy head. You're just in time.	أهلا أهيا النعسان لقد أتيت في الوقت المناسب
Oh! I mean, uh [clears throat] i-if i --	..أنا أعني، لو
Acknowledges the continuing commitment of NATO to lead the International Security Assistance Force (ISAF), and welcomes the adoption by NATO of a revised Operational Plan allowing the continued expansion of the ISAF across Afghanistan, closer operational synergy with the Operation Enduring Freedom (OEF), and support, within means and capabilities, to Afghan security forces in the military aspects of their training and operational deployments;	6 - ينوه بالتزام منظمة حلف شمال الأطلسي المتواصل بقيادة القوة الدولية للمساعدة الأمنية، ويرحب باعتماد منظمة حلف شمال الأطلسي لخطة منقحة للعمليات تتيح استمرار انتشار القوة عبر أفغانستان بأكملها، وتعزيز التآزر على صعيد العمليات مع عملية الحرية الدائمة، وتقديم الدعم، في حدود الموارد والقدرات المتاحة، لقوات الأمن الأفغانية في الجوانب العسكرية لتدريبها وفي حالات نشرها في ميدان العمليات؛
Yes,ma'am,I know that,so I would think that you of all people would want to see law enforcement able to do their job.	نعم سيدتي، لذلك أظن أنكِ أنتِ بالذات ترغبين في رؤية قوى الشرطة تؤدي عملها
Mitchell?	(ميتشل )؟
Miss Allison, Miss Stevens.	آنسة أليسون، انسة ستيفنز.
He was lost too.	لقد ضاع ايضا
She considered that it was unacceptable for States that had committed acts of cultural genocide or genocide against indigenous peoples to seek now to undermine the provision on cultural genocide in the draft declaration.	ورأت أنه من غير المقبول أن تحاول الآن الدول التي ارتكبت أفعال إبادة جماعية ثقافية أو إبادة جماعية ضد الشعوب الأصلية إضعاف الحكم المتعلق بالإبادة الجماعية الثقافية في مشروع الإعلان.
What's in the briefcase?	ماذا بداخل الحقيبة ؟
In fact, there was a remarkable contrast in savings behavior across age groups in China and the US in the period 1992-2009. For young Americans (those under 25), the borrowing rate rose by ten percentage pointsmore than the borrowing rate of young Chinese, while the savings rate of the Chinese working-age population (ages 35-54) rose by about 17 percentage points more than the savings rate of their American counterparts.	والواقع أن التباين كان ملحوظاً في سلوكيات الادخار بين الفئات العمرية المختلفة في الصين والولايات المتحدة أثناء الفترة 1992-2009. فبالنسبة للشباب الأميركيين (هؤلاء تحت سن الخامسة والعشرين)، ارتفع معدل الاقتراض بنحو عشر نقاط مئوية زيادة على معدل الاقتراض بين الشباب في الصين، في حين ارتفع معدل الادخار بين المواطنين الصينيين في سن العمل (بين 35 إلى 54 عاما) بنحو 17 نقطة مئوية زيادة على معدل الادخار بين أقرانهم الأميركيين.
They tortured our sisters and daughters.	إنهم يعذبون أخواتنا وبناتنا
I don't have any stuff.	أنا لا أملك أيّة أغراض.
"Is The Lion planning to assassinate Senator Cordero?"	هل يخطط ليون لاغتيال السيناتور كورديرو
Conscious that the problems of ocean space are closely interrelated and need to be considered as a whole through an integrated, interdisciplinary and intersectoral approach,	وإذ تدرك أن المشاكل المتعلقة بحيز المحيطات هي مشاكل مترابطة ترابطا وثيقا وتلزم دراستها ككل، باتباع نهج متكامل ومتعدد التخصصات ومشترك بين مختلف القطاعات،
Only Parties for which the Convention has entered into force as at 30 April 2005 are included in the report as the import responses are not required from a Party until the date of entry into force of the Convention for that Party.	وقد تم إدراج الأطراف التي بدأ سريان الاتفاقية عليها حتى 30 نيسان/أبريل 2005 فقط في هذا التقرير حيث أن الردود المتعلقة بالواردات غير مطلوبة من الأطراف التي لا يسري عليها تاريخ دخول الاتفاقية حيز النفاذ.
Speaking of stories, did I ever tell you the story about the time that I was on this planet made entirely of lava?	بالحديث عن القصص، هل حدثتكم عن القصة عن الفترة التي كنت فيها في ذلك الكوكب، المغطى بأكمله بالحمم البركانية
Do you need me to believe you?	-أتريدني أن أصدقك ؟
They were just doing the American thing.	ولكنفيالغالب لميكنتركيزهمعلى ذلك فقط كانوايفعلونفقط علىالطريقةالأمريكية/. ط
What are you majoring in?	فى ماذا تَتخصّصُ ؟
I'm, uh, actually a lily man.	أنا، اه، في الواقع رجل زنبق.
I was blowing off a little steam. So what?	كنت اخرج بعض الغضب، ماذا في ذلك؟
Hi.	انا هنا اليوم
4.30 p.m. H.E. Mr. Elías Antonio Saca González, President of the Republic of El Salvador	30/14 فخامة السيد إلياس أنطونيو ساكا غونسالس، رئيس جمهورية السلفادور
Another claim approved in the same instalment requires correction due to a typographical error whereby the amount claimed was inserted instead of the amount recommended.	32- وهناك مطالبة أخرى موافق عليها في نفس الدفعة تحتاج إلى تصويب بسبب خطأ مطبعي يتمثل في إدراج المبلغ المطالَب به بدلا من المبلغ الموصى بمنحه.
That Gave Me The Idea.	جائتني بهذه الفكرة
Catching a cab to the airport.	سأستقل سيارة أجرة إلى المطار
10 minutes ago, you were on my side. Don't you remember, Jackal?	منذ 10 دقائق كنا في صف واحد ألا تتذكرين (جاكل)
I will find a way to make this permanent, Gregor, because I love you, Ok?	سأجد طريقة لجعل ذلك دائمًا يا (جريجور)، لأنّي أحبّك، اتّفقنا؟
Stop making stuff up!	لا تقرر كل شيء بنفسك!
Latin?	لا تينى؟
But...	لكن...
Whatever it is that pumps that black sludge through his veins.	أيا ما كان يدفع السائل الأسود ليجري في عروقه
It's great to see you again, love.	سعيده برؤيتك ثانية يا عزيزتى
The current practice of organizing open meetings does not even provide for the formal opportunity to take into account the viewpoints expressed during the discussions. Documents on the outcomes of open meetings are prepared ahead of those meetings and are adopted immediately, without any adjustments based on the results of the discussion.	فالممارسة الحالية لتنظيم جلسات مفتوحة لا توفر حتى فرصة للأخذ في الحسبان وجهات النظر المعرب عنها خلال المناقشات، إذ أن الوثائق المتعلقة بنتيجة الجلسات العلنية تـُعد قبل أن تبدأ الجلسات وتعتمد فورا من دون أي تعديلات بناء على نتائج المناقشة.
I know that.	أنا أعلم ذلك.
- I'm exactly the same way so... [laughter] - he's not joking.	أنا بالضبط بنفس الطريقة لذا... إنّه لا يمزح
- Is it pixie dust or leprechaun tails?	-هل هي جنية الرمل ،او ذيل جني
- We won't know the result.	فلن نعرف النتيجة حسناً قولوها بصوت عالي
Also, I suspect he may have scurvy because he keeps asking for lemon.	أيضاً, شككت بأنه مصاب بمرض الإسقربوط لأنه إستمر بالسؤال عن (ليمون)
8th meeting	الجلسة الثامنة
Or what?	-أو ماذا ؟
Following additional claim development, the Panel determines that the claimants shared joint ownership as of 2 August 1990, and therefore recommends that the claimants share equally in the compensation awarded.	وبناء على المطالبة التفصيلية الإضافية، يقرر الفريق أن صاحبي المطالبتين كانا شريكين في الملكية بتاريخ 2 آب/أغسطس 1990؛ وعليه، يوصي الفريق بأن يتقاسما بالتساوي مبلغ التعويض الممنوح.
This isn't good.	هذا ليس جيداًُ
The baby bird stops to rest	الطائر الصغير توقف للراحة
Oh, it's a gas.	أوه إنه هزلي
Watch me burn Flanders.	لاحظي كيف سأورّط (فلاندرز)
You have bigger problems, don't you?	لديك مشاكل أكبر، أليس كذلك؟
This is a little something I learned from karl rove.	هذا بعض الشيء الذي تعلمته من "كار روف"
* As set out in the United Nations Millennium Declaration (General Assembly resolution 55/2) and the report of the Secretary-General entitled “Road map towards the implementation of the United Nations Millennium Declaration” (A/56/326); for a complete description and technical details concerning the indicators, see Indicators for Monitoring the Millennium Development Goals: Definitions, Rationale, Concepts and Sources (United Nations publication, Sales No.	الهدف 1
Cover Editor	معد الغلاف
No, that was in your attached notes.	لا هذا ماكان في ملاحظاتك على التقرير
They're a thing.	إنها موجودة
It's just... (sighs)	الأمر فقط...
I shouldn't be long.	لا يجب عليَ أن أتأخَر
That's our special little code.	هذا رقمنا الخاص.
- I've never seen it.	ـانالم أراهأبداً!
Nothing, as far as I know.	لا شيء، بقدر ما اعْرفُ.
Well, I had no idea...	حسناً ليس لدي اي فكرة
- But there wasn't?	-لكن لم يكن؟
Darling, I wasn't aware we had visitors.	عزيزتي ,لم أكن أعرف أنه لدينا زوار.
Think I've seen more hair on a side of bacon.	أعتقد أنني رأيت المزيد من الشعر، على جانب اللحم المقدد.
Senator Sumner. It's been much too long.	سيناتور (سومنر) لقد مر وقت طويل
These three elements are intrinsically linked and represent the way in which we can begin to provide an effective national, regional and global response to the problem.	هذه العناصر الثلاثة مرتبطة ارتباطا عضويا وتمثل السبيل الذي يمكننا أن نبدأ فيه بتقديم استجابة وطنية وإقليمية وعالمية فعالة للمشكلة.
She is why Orchestra exists.	أنها سبب أنشاء "أوركسترا"
Many delegations expressed alarm over food shortages in several parts of Africa, cautioning that this ongoing problem could become a humanitarian crisis.	47- وأبدت وفود عديدة انزعاجها لنقص الأغذية في أجزاء عدة من أفريقيا، محذرةً من أن هذا المشكل المزمن قد يتحول إلى أزمة إنسانية.
We are running a few more tests, but if we can't get the swelling down soon, he won't be able to breathe air into his lungs.	نحن نقوم بعمل بعض الفحوصات لكن أذا لم نستطع أن نزيل الورم قريباً سوف يكون غير قادرٍ على ايصال الهواء لرئتيه
I've got a girlfriend that actually likes me.	لدي محبوبة , وهيا غالباً ما تحبني
The competent authorities in charge (excluding the JAFIO) shall, upon receipt of the report, promptly notify the JAFIO of the matters regarding the report.	وتقوم السلطات المختصة المسؤولة (فيما عدا مكتب الاستخبارات المالية الياباني)، عند تلقي التقرير، بإبلاغ المكتب فورا بالمسائل المتعلقة بالتقرير.
Suddenly I'm more concerned about separating him from his family than raising him as an only child.	فجأة أنا مهتمة أكثر بإبعاده عن عائلته من تربيته كطفل وحيد
Maybe we can do some real business, jimmy ford.	ربما يمكننا القيام ببعض الأعمال الحقيقية (يا (جيمي فورد
You think you can do it?	أتظُن أنّك تستطيع القيام بذلك؟
Hey!	أنتبه!
Mikey.	مايكي
So Allah made them taste disgrace in the life of the world , and the punishment of the Hereafter will surely be greater , if they knew .	كذَّب الذين مِن قبل قومك -أيها الرسول- رسلهم ، فجاءهم العذاب من حيث لا يشعرون بمجيئه ، فأذاق الله الأمم المكذبة العذاب والهوان في الدنيا ، وأعد لهم عذابًا أشد وأشق في الآخرة ، لو كان هؤلاء المشركون يعلمون أن ما حلَّ بهم ؛ بسبب كفرهم وتكذيبهم لاتَّعظوا .
I want you to do Five shots.	اريدك ان تشرب الكؤوس الخمسه
These honey are really very delicious. I also want to try it.	هذا العسل لذيذاً جداً أريد أن أجرب أنا أيضاً
How?	كيف؟
To the point. You mentioned some evidence.	بالنسبة للموضوع ذكرتَ بأن لديكَ دليل.
I don't know, dad, I guess.	لا أعرف، والدكَ على ما أظن
My boss said I might be getting a new lamp in my cubicle.	قال مديري إني قد أحصل على مصباح جديد في غرفتي الصغيرة
God, I'm good!	يا للهول! كم أنا بارع
Six-foot-two, well built.	تسة أقدام و بوصتين ، قوي البنية
Now hold it. I've waited long enough. What happened back there?	والآن توقفِ , لقد أنتظرت كفاية ماذا حدث هناك ؟
The digital recording system was created in 1999, with the Verbatim Reporting Service in mind.	129 - أُنشئ نظام التسجيل الرقمي في عام 1999، لاستخدامه في دائرة تدوين المحاضر الحرفية.
The time saved can be utilized to generate income for the family.	ويمكن استغلال الوقت الموفر في توليد دخل للأسرة.
I must tear myself away from the most delightful of hostesses.	يا رجل، ماذا تظنك فاعلاً؟
- She needs me. - I need you! The farm needs you!	أنها في حاجة إليّ- أنا أحتاجك و كذلك المرزعة-
Do you believe that?	ألقيت اللوم على الطفل
I know what the stakes are.	أعرف ما على المحك
Please read the oath out loud.	الرجاء قراءة اليمين بصوت عال
What do you want to study?	ماذا تريدين أن تدرُسي؟
Wow! Nice adjustment.	تعديل جيد
Jamaal! Haven't you realized by now who your father's become?	جمال ألم تلاحظ للآن من اصبح والدك ؟
Maybe I'll just take what I want ... wake up something inside of you.	Maybe I'll just take what I want ... wake up something inside of you.
- Don't worry, Moussa.	- ( لا تقلق،( موسى -
Acknowledges the historic significance of the establishment of the International Criminal Court on 1 July 2002, and the fact that a significant number of States have already signed, ratified or acceded to the Rome Statute,5 and calls upon all other States to consider becoming parties to the Statute;	3 - تسلِّم بما يكتسيه إنشاء المحكمة الجنائية الدولية في 1 تموز/يوليه 2002 من أهمية تاريخية، وبأن عددا كبيرا من الدول وقَّع أو صدَّق على نظام روما الأساسي(5) أو انضم إليه، وتهيب بجميع الدول الأخرى النظر في أن تصبح أطرافا في النظام الأساسي؛
Panel discussion on “Regional realities: Asia-Pacific Day”	حلقة نقاش عن الحقائق الإقليمية: يوم آسيا والمحيط الهادئ
I'm in position.	نحن فى الموقع
That beats joining the mile-high club.	هذا السر يتغلب على انضمامي لنادي الميل الأعلى
Oh, my gosh, that's Joshua Butler.	(يا إلهي , ذلك هو (جوشوا بوتلر
Nothing. I got out alive.	لا شيء، لقد خرجت حياً
The endurance of the faasamoa ensures national security.	قدرة أسلوب حياة مواطني ساموا على التحمل ضمان للأمن القومي.
- Who are you?	-من أنت؟
As the Timorese flag is raised today, we will all have reason to be proud.	ولما كان العلم التيموري يرفع اليوم، فإن هذا سيكون من دواعي فخرنا.
It further recommended that parties to the Convention should urgently take the necessary short-term, medium-term and long-term measures to respond to the loss or reduction of marine biological diversity associated with these areas.	كما أوصى بأن تتخذ أطراف الاتفاقية، وبصورة عاجلة، التدابير الضرورية في الآجال القصيرة والمتوسطة والطويلة للاستجابة لفقدان أو انخفاض التنوع البيولوجي البحري المرتبط بهذه المناطق.
(e) Appointment of members of the United Nations Administrative Tribunal (resolution 351 A (IV) of 24 November 1949 and decision 54/316 of 15 November 1999);	(هـ) تعيين أعضاء في المحكمة الإدارية للأمم المتحدة (القرار 351 ألف (د-4) المؤرخ 24 تشرين الثاني/نوفمبر 1949 والمقرر 54/316 المؤرخ 15تشرين الثاني/نوفمبر 1999)؛
I'm having fun.	أنا أستمتع
You make me laugh.	انت تضحكنى
You're Donnie banks?	انت دوني بانكس
♪	♪
And she needs to be treated with inpatient psychiatric care.	ويجب أن تُعالج من قبل الطبيب النفسي
- Is Diana with her?	-هل (ديانا) معها؟
Can I get a ride?	هل يمكنني أن أحصل على توصيل؟
-A lecture about what?	ـ محاضرة حول ماذا؟
I've got to run.	يجب علي ان اذهب.
What if you could capture its essence to draw a picture?	؟ ماذا لو اقتبسنـا منها لصنـع صورة ؟
I'm thinking, like, a silhouette in the window of the two of you taking your clothes off, and then just, you know, making some noises.	أفكر بأن يكون ظل من النافذة لكما وأنتم تنزعون ملابسكم وبعدها قوموا بعمل بعض الأصوات
The Model Regulations and the GHS are available online in all languages on the website of the Economic Commission for Europe (ECE).	6 - والنظام النموذجي والنظام المتوائم منشوران بجميع اللغات على موقع اللجنة الاقتصادية لأوروبا على الشبكة().
Come with me.	لدي مهمةلكما ،رافقاني!
I would punish such insolence most severely.	يجب أن أعاقب هذه الغطرسة بقسوة
I love you so much.	أحبك للغاية.
Where are you off to so early?	إلى أين ستذهب باكراً هكذا؟
If she gets an infection from the I.V., then we're liable.	لو تعرضت لعدوى من الخط الوريدي فإننا معرضون للمسائلة القانونية
Hello, Eleanor.	"مرحباً ، "إيلينور
And if I biff you one, you'll consider it a sort of diploma?	وإنكـانيجبأنأفوت لكِهذا، هـلّ ستعتبرين ذلك نوعاً من الدبلوم؟
You make a move toward Iris...	إن تحركت ناحية (آيريس)
A good soldier protects his commander.	الجندي المخلص يحمي قائده
- To them or you?	لهم أم لكَ؟
I always thought my big break would be from pushing Ben Vereen down a flight of stairs, but this is even better.	لقد كنت أعتقد دائمًا بإن حظي سـ يكون بدفع بين فيريين أسفل الدرج ولكن هذا أفضل بكثير
The Committee expresses concern at the high incidence of poverty among women, in particular rural women and households headed by women.	296 - وتعرب اللجنة عن القلق إزاء ارتفاع معدل الفقر بين النساء ولا سيما بالنسبة للمرأة الريفية والأسر المعيشية التي تعيلها امرأة.
Thirteenth session (1981)	الدورة الثالثة عشرة (1981)
Do you live here?	أتعيشين هنا؟
A'ight, man. We here.	حسنا، يارجل، نحن هنا.
'It's an incredibly liberating idea, 'because it allows you to solve problems without getting bogged down 'in messy numerical calculations.'	إنها فكرة متحرّرة للغاية لأنها تسمح لك بحلّ المشاكل دون التورّط في حسابات عددية محيّرة
I don't have Allison anymore.	ليس لدي أليسون بعد الآن
All I know.	كل ما أعرفه
Functions and duties of FIU	وظائف وحدة الاستخبارات المالية ومهامها:
Sir..	سيدي ..
Don't waste your time.	لا تضيع وقتك
My understanding was that you were supposed to be protecting us.	على حد فهمي أنّك من المفترض أنك تقوم بحمايتنا
Please, stop focusing on what you don't have and focus on the fact that you're here and you have four dear friends to celebrate with.	فضلا , لا تركز بما لديك وركّز في حقيقة وجودك هنا كما لديك اربعة اصدقاء اعزاء للاحتفال معهم
Burden of this place?	عبء هذا المكان؟
Nowjust wait and watch Rasila bhabhi, I will not spare that Ram and those wretched Rajadis.	الان انتظري وشاهدي يا اختي راسيلا لن أترك رام وهؤلاء الراجاديون الاوغاد
Once we're out of town, the rest is up to me.	مع زوجاتنا واطفالنا وحالما نغادر المدينة ساتولى زمام الامور
It's all cretaceous, from the Quaternary era.	إنها قديمة جداً تعود إلى العصر الرباعي
Watch. I can't see anything.	ـ شاهدي ـ لا يمكنني رؤية أيّ شيء
A five, a ten, a 20, it don't matter.	خمسة, عشرة, عشرون, لا يهم.
a Represents the estimated rental value of field offices headquarters, troop accommodation, logistics bases, and airfields and terminals in Kinshasa, Bukavu, Goma, Kalemie, Kindu, Kisangani, Mbandaka, the Ituri region, Kananga, Kasese (Uganda) and Kigoma (United Republic of Tanzania).	149 - تُعزى الاحتياجات الإضافية أساسا إلى اقتراح إنشاء 56 وظيفة دولية إضافية. وتعكس التقديرات تطبيق متوسط لتكاليف المرتبات مستمد من الإنفاق الفعلي في الفترة 2006/2007.
Pharaoh followed them with his hosts , but they were overwhelmed by the sea ;	فأسرى موسى ببني إسرائيل ، وعبر بهم طريقًا في البحر ، فأتبعهم فرعون بجنوده ، فغمرهم من الماء ما لا يعلم كنهه إلا الله ، فغرقوا جميعًا ونجا موسى وقومه .
- It's in French, but you can read my name.	-إنها باللغة الفرسية, ولكن يمكنك قراءة اسمي بوضوح.
Whether of a penny or a 1,00,000/-!	السرقة هي السرقة سواء كانت قرشا أو 100,000 روبيه
We barely know each other. I mean, you couldn't even remember my name... a few a days ago.	نحن نعرف بعض بصعوبه انت لم تتذكر حتى إسمى منذ ايام
Oh, Rory! Oh, Rory.	(روري)، (روري)
Bluebird!	الطائر الازرق!
You want to go a few rounds?	هل تريد لعب بعض الجولات؟
What about your employer?	ماذا عن رب عملك؟
You can do it. Come on. d it seems I've lost my way d d we were laughing with the sway d d of the wind in my hair d d I lost my way d d and now my chest is beating hard d d but my mind is thinking clear d	يمكنك أن تفعليها هيا من كتب هذه؟
Stop, both of you.	كفى، كلاكما.
Just don't try and stop this.	فقط لا تحاولي إيقاف ذلك الأمر
Such an experience could be constructive in the context of future discussions at the national level in the process of the ratification of or accession to the Convention and the Migrants Protocol.	وهذه الخبرة يمكن أن تكون بنّاءة في سياق المناقشات التي ستجري في المستقبل على الصعيد الوطني في عملية التصديق على الاتفاقية وبروتوكول المهاجرين أو في عملية الانضمام إليهما.
Right, braking, ready for the... Oh, God, turn here...	حسناً , مكابح الآن , يا آلهي , التفيّ
So you just stay in here and lock the door.	لذا إبقى هنا فحسب و أقفل الباب
They'll have worked it out at the same time.	-سيعرفون وقتها
Hey.	مرحبا.
Moreover, there is a close connection between the particular culture of a people and its identity as a nation.	وعلاوة على ذلك، هناك علاقة وثيقة بين الثقافة الخاصة بشعب من الشعوب وهويته كأمة.
Okay, Robbie, this has to stop.	حسناً يا (روبي) على هذا أن يتوقف
Ben, there will be no tears in this car, or in my house.	لن يكون هناك بكاء في هذه السيارة أو في منزلي
